gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
9,Sun,2023-10-01,12:00:00,Blackburn,1.4,1,Leicester City,1.8,4,15937,Ewood Park,James Linington
10,Tue,2023-10-03,19:45:00,Birmingham City,1.7,4,Huddersfield,2.1,1,15944,St Andrew's Trillion Trophy Stadium,Samuel Allison
10,Tue,2023-10-03,19:45:00,Middlesbrough,2.2,2,Cardiff City,0.6,0,24276,Riverside Stadium,Andy Madley
10,Tue,2023-10-03,19:45:00,Plymouth Argyle,0.8,0,Millwall,1.1,2,15891,Home Park,Oliver Langford
10,Tue,2023-10-03,19:45:00,Ipswich Town,1.2,3,Hull City,0.9,0,27070,Portman Road Stadium,Matt Donohue
10,Tue,2023-10-03,20:00:00,Stoke City,0.7,0,Southampton,0.9,1,20002,Bet365 Stadium,James Bell
10,Tue,2023-10-03,20:00:00,West Brom,1.2,1,Sheffield Weds,0.2,0,22558,The Hawthorns,John Busby
10,Wed,2023-10-04,19:45:00,Leicester City,1.5,3,Preston,0.4,0,30380,King Power Stadium,Thomas Bramall
10,Wed,2023-10-04,19:45:00,Sunderland,1.2,2,Watford,0.4,0,38120,Stadium of Light,Andrew Davies
10,Wed,2023-10-04,19:45:00,Leeds United,2.0,1,QPR,0.3,0,32663,Elland Road,David Webb
10,Wed,2023-10-04,19:45:00,Swansea City,2.5,2,Norwich City,1.6,1,14512,Swansea.com Stadium,Tom Nield
10,Wed,2023-10-04,19:45:00,Coventry City,1.2,1,Blackburn,0.7,0,22370,Coventry Building Society Arena,Jeremy Simpson
10,Wed,2023-10-04,20:00:00,Rotherham Utd,1.3,1,Bristol City,1.1,2,9221,AESSEAL New York Stadium,Dean Whitestone
11,Fri,2023-10-06,20:00:00,Birmingham City,1.5,3,West Brom,1.2,1,21495,St Andrew's Trillion Trophy Stadium,James Linington
11,Sat,2023-10-07,12:30:00,Sunderland,0.5,0,Middlesbrough,2.4,4,43584,Stadium of Light,Jarred Gillett
11,Sat,2023-10-07,15:00:00,Southampton,3.1,1,Rotherham Utd,0.1,1,28404,St. Mary's Stadium,John Busby
11,Sat,2023-10-07,15:00:00,Leicester City,2.4,2,Stoke City,0.2,0,31589,King Power Stadium,Geoff Eltringham
11,Sat,2023-10-07,15:00:00,Leeds United,2.5,2,Bristol City,0.5,1,36386,Elland Road,Keith Stroud
11,Sat,2023-10-07,15:00:00,Ipswich Town,2.4,4,Preston,0.3,2,29018,Portman Road Stadium,David Webb
11,Sat,2023-10-07,15:00:00,Millwall,1.2,2,Hull City,1.1,2,15204,The Den,Tim Robinson
11,Sat,2023-10-07,15:00:00,Cardiff City,0.7,1,Watford,2.0,1,19804,Cardiff City Stadium,Gavin Ward
11,Sat,2023-10-07,15:00:00,QPR,1.1,0,Blackburn,2.3,4,15376,MATRADE Loftus Road Stadium,Joshua Smith
11,Sat,2023-10-07,15:00:00,Coventry City,1.7,1,Norwich City,0.6,1,26548,Coventry Building Society Arena,Dean Whitestone
11,Sat,2023-10-07,15:00:00,Sheffield Weds,0.6,0,Huddersfield,0.7,0,26025,Hillsborough Stadium,Matt Donohue
11,Sat,2023-10-07,15:00:00,Plymouth Argyle,1.3,1,Swansea City,2.1,3,16463,Home Park,Lewis Smith
12,Sat,2023-10-21,12:30:00,Preston,0.5,1,Millwall,0.3,1,14427,Deepdale Stadium,Matt Donohue
12,Sat,2023-10-21,15:00:00,Stoke City,0.7,2,Sunderland,1.9,1,25512,Bet365 Stadium,Graham Scott
12,Sat,2023-10-21,15:00:00,West Brom,0.8,0,Plymouth Argyle,0.4,0,24732,The Hawthorns,Stephen Martin
12,Sat,2023-10-21,15:00:00,Watford,0.4,1,Sheffield Weds,0.4,0,19102,Vicarage Road Stadium,Dean Whitestone
12,Sat,2023-10-21,15:00:00,Bristol City,0.4,1,Coventry City,0.6,0,22718,Ashton Gate Stadium,David Webb
12,Sat,2023-10-21,15:00:00,Middlesbrough,2.0,1,Birmingham City,0.2,0,28449,Riverside Stadium,Rebecca Welch
12,Sat,2023-10-21,15:00:00,Norwich City,0.9,2,Leeds United,1.5,3,26758,Carrow Road,John Busby
